Harvard University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11387,11387,Mike Way,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=64688,64688,1,14,1,0,120,15,379,72,4776,2773
Trinity College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11386,11386,Wendy Bartlett,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=5594,5594,2,17,2,0,139,31,435,120,5665,3286
Princeton University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11388,11388,Gail Ramsay,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=19729,19729,3,12,3,0,103,31,331,128,4597,3178
University of Pennsylvania,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11399,11399,Jack Wyant,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=12778,12778,4,14,3,0,126,27,396,120,5209,3459
Yale University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11400,11400,Dave Talbott,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=20492,20492,5,12,5,0,113,39,367,155,5150,3657
Cornell University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11410,11410,Julee Devoy,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=35684,35684,6,10,7,0,94,59,324,204,4962,4178
George Washington University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11404,11404,Wendy Lawrence,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=9223,9223,7,9,8,0,75,78,252,272,4342,4538
Columbia University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11409,11409,Jacques Swanepoel,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=27860,27860,7,7,9,0,54,90,185,305,3851,4556
Stanford University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11401,11401,Mark Talbott,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=12054,12054,9,7,9,0,58,86,214,297,4280,4843
Dartmouth College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11411,11411,Hansi Wiens,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=55005,55005,10,8,8,0,58,86,207,295,4099,4650
Brown University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11407,11407,Stuart leGassick,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=9268,9268,11,7,9,0,67,77,239,263,4333,4409
Williams College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11416,11416,Zafi Levy,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=9335,9335,12,15,10,0,123,100,430,359,7008,6549
Middlebury College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11412,11412,Mike Morgan,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=10076,10076,13,15,7,0,132,64,433,249,6470,5109
Drexel University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11418,11418,John White,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=29892,29892,13,9,11,0,99,81,324,272,5195,4637
Bates College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11384,11384,Patrick Cosquer,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=142,142,15,10,12,0,88,109,310,370,5503,5972
Franklin and Marshall College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11395,11395,Gavin Jones,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=31359,31359,15,9,9,0,81,81,282,262,4643,4424
Amherst College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11406,11406,Peter Robson,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=4050,4050,17,12,6,0,100,62,347,227,5331,4503
Bowdoin College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11385,11385,Tomas Fortson,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=7439,7439,18,9,12,0,80,109,280,363,5136,5742
Hamilton College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11396,11396,Jamie King,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=28425,28425,19,14,8,0,127,71,424,265,6497,5252
Colby College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11408,11408,Sakhi Khan,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=8927,8927,19,11,11,0,88,110,297,377,5351,5960
Wesleyan University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11391,11391,Shona Kerr,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=3934,3934,21,8,12,0,94,86,328,283,5349,4908
St. Lawrence University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11403,11403,Chris Abplanalp,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=35888,35888,21,5,7,0,50,58,168,190,2796,3119
University of Virginia,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11415,11415,Mark Allen,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=16113,16113,23,12,4,0,102,36,319,116,4223,2502
Wellesley College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11393,11393,Wendy Berry,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=39018,39018,24,13,11,0,111,103,366,358,6046,5868
Tufts University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11414,11414,Joseph McManus,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=3990,3990,25,9,13,0,88,107,305,347,5169,5610
William Smith College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11402,11402,Chip Fishback,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=21710,21710,26,14,6,0,117,63,369,215,5328,3974
Connecticut College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11389,11389,Ted Childs,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=58283,58283,27,8,17,0,75,149,267,485,5631,6964
Mount Holyoke College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11413,11413,Erin Robson,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=44654,44654,28,7,17,0,71,145,261,448,5305,6545
Boston College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11420,11420,Caroline Whelan,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=15946,15946,29,5,9,0,52,74,173,236,3111,3515
Johns Hopkins University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11423,11423,Gabrielle Nyirjesy,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=33936,33936,29,6,4,0,53,34,172,125,2648,2288
Haverford College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11397,11397,Niki Clement,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=1422,1422,31,10,7,0,84,67,278,232,4454,4097
Georgetown University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11417,11417,Elizabeth Johnson,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=37684,37684,31,7,6,0,45,66,158,223,2899,3324
Dickinson College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11433,11433,Christopher Sachvie,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=22084,22084,33,6,8,0,60,64,200,211,3296,3303
Northwestern University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11429,11429,Jaclyn Edelson,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=35877,35877,34,9,4,0,70,44,234,166,3612,3088
Vassar College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11390,11390,Jane Parker,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=19504,19504,35,7,7,0,64,61,204,195,3259,3048
Washington University in St. Louis,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11424,11424,Michael Puertas,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=4040,4040,35,6,3,0,50,28,165,96,2485,1796
Colgate University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11405,11405,Ben Oliver,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=64267,64267,37,2,9,0,19,77,72,238,1592,2958
Smith College,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11392,11392,Timothy Bacon,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=3753,3753,37,0,17,0,12,140,45,424,1962,5029
University of Rochester,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11422,11422,Emma Moore,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=65908,65908,39,3,7,0,29,60,99,192,1888,2660
Boston University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=13519,13519,Joel Lavoie,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=71661,71661,40,4,2,0,31,23,94,80,1364,1339
Northeastern University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11398,11398,Luke Forster,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=63373,63373,41,3,8,0,22,76,90,235,2058,3083
New York University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11394,11394,Kush Mahan,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=30904,30904,42,1,10,0,16,80,57,251,1451,3152
"Minnesota, University of",http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11426,11426,John Stever,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=27344,27344,43,1,9,0,23,60,91,192,1901,2682
Bucknell University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11425,11425,Ana Kelly,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=49244,49244,100,1,9,0,15,71,56,221,1410,2784
Fordham University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11428,11428,Bryan Patterson,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=4027,4027,100,2,7,0,11,66,37,202,1059,2402
"Notre Dame, University of",http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11427,11427,Geoff McCuen,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=19005,19005,100,0,7,0,5,50,24,152,814,1795
"California Berkeley, University of",http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11421,11421,Lauren Xaba,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=10547,10547,100,0,0,0,0,0,0,0,0,0
Denison University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11430,11430,Walt Thieman,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=76755,76755,100,0,0,0,0,0,0,0,0,0
"North Carolina, University of",http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11431,11431,Catherine Sullivan,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=21979,21979,100,0,0,0,0,0,0,0,0,0
Vanderbilt University,http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11419,11419,Hannah Elbaum,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=57860,57860,100,0,0,0,0,0,0,0,0,0
"Vermont, University of",http://modules.ussquash.com/ssm/pages/leagues/Team_Information.asp?id=11435,11435,Sam Kazman,http://modules.ussquash.com/ssm/pages/player_profile.asp?id=72931,72931,100,0,0,0,0,0,0,0,0,0
